,cx,cy
90,221.81782566111656,258.6611165523996
91,362.44454887218046,261.4191729323308
92,263.185510428101,264.40285400658615
93,320.4194722474977,265.5304822565969
94,603.5435847208619,269.53085210577865
95,24.573802541544477,270.2991202346041
96,68.88888888888889,273.4618916437098
97,562.2340862422998,274.9075975359343
98,520.1506849315068,279.52054794520546
99,113.90041493775934,279.7904564315353
100,154.97978825794033,285.3051010587103
101,477.3076152304609,284.6743486973948
102,432.82363977485926,289.92589118198873
103,196.2323125659979,291.18162618796197
104,391.00704225352115,294.6539235412475
105,236.45829145728644,296.3105527638191
106,350.72675521821634,299.1081593927894
107,276.4895833333333,300.7885416666667
108,312.20042194092827,302.8691983122363
109,42.6301652892562,306.20764462809916
110,587.5376676986584,307.0536635706914
111,86.72328767123288,312.0904109589041
112,545.4452830188679,311.99056603773585
113,502.7990099009901,315.94455445544554
114,131.0530303030303,317.7660984848485
115,461.5238095238095,320.9915343915344
116,172.03587443946188,322.4304932735426
117,418.4792243767313,326.5697137580794
118,213.75639713408393,329.31627430910953
119,376.9686581782566,332.6190009794319
120,253.16247379454927,334.5345911949685
121,335.8445873526259,336.77277599142553
122,294.19018404907973,338.19529652351736
123,572.3600395647874,344.5361028684471
124,60.239766081871345,343.46101364522417
125,106.10867397806581,349.65603190428715
126,529.5183527305282,350.97045658012536
127,486.3542757417103,353.1239092495637
128,148.67296222664015,355.19383697813123
129,444.9590476190476,358.9866666666667
130,190.46223564954684,359.4551863041289
131,402.45235892691954,364.32932469935247
132,232.8503688092729,366.9178082191781
133,358.974907063197,369.66635687732344
134,273.17997977755306,371.74216380182
135,315.3125599232982,372.88398849472674
136,597.5570131180625,376.4712411705348
137,35.010235414534286,376.4042988741044
138,556.6439393939394,382.15435606060606
139,78.80392156862744,381.59411764705885
140,122.85572139303483,386.0905472636816
141,513.5220729366603,386.7619961612284
142,471.36842105263156,391.2253000923361
143,166.1454005934718,392.8991097922849
144,427.57862903225805,395.59879032258067
145,207.54195459032576,398.86475814412637
146,386.23952641165755,400.8342440801457
147,251.16612021857924,403.2775956284153
